NODES	DATETIME	AUTOMATION_RCVD	WL_BUILD	WL_RELEASE
A1C	2019-11-01 00:00:00	NA	55	182
A1C	2019-11-01 01:00:00	NA	533	120
A1C	2019-11-01 02:00:00	NA	540	770
A1C	2019-11-01 03:00:00	NA	457	228
A1C	2019-11-01 04:00:00	NA	769	611
A1C	2019-11-01 05:00:00	NA	698	490
A1C	2019-11-01 06:00:00	NA	627	744
A1C	2019-11-01 07:00:00	NA	299	1238
A1C	2019-11-01 08:00:00	NA	3	831
A1C	2019-11-01 09:00:00	NA	22	125
A1C	2019-11-01 10:00:00	NA	133	97
A1C	2019-11-01 11:00:00	NA	20	15
A1C	2019-11-01 12:00:00	NA	NA	3
A1C	2019-11-01 13:00:00	NA	NA	2
A1C	2019-11-01 14:00:00	NA	NA	8
A1C	2019-11-01 15:00:00	NA	9	4
A1C	2019-11-01 16:00:00	NA	60	5
A1C	2019-11-01 17:00:00	NA	13	8
A1C	2019-11-01 19:00:00	NA	10	NA
A1C	2019-11-01 20:00:00	NA	219	NA
A1C	2019-11-01 21:00:00	NA	264	NA
A1C	2019-11-01 22:00:00	NA	490	318
A1C	2019-11-01 23:00:00	NA	231	146
A1C	2019-11-02 00:00:00	NA	400	NA
A1C	2019-11-02 01:00:00	NA	663	824
A1C	2019-11-02 02:00:00	NA	701	795
A1C	2019-11-02 03:00:00	NA	613	682
A1C	2019-11-02 04:00:00	NA	780	952
A1C	2019-11-02 05:00:00	NA	626	596
A1C	2019-11-02 06:00:00	NA	296	978
A1C	2019-11-02 07:00:00	NA	22	207
A1C	2019-11-02 08:00:00	NA	29	107
A1C	2019-11-02 09:00:00	NA	146	4
A1C	2019-11-02 15:00:00	NA	38	1
A1C	2019-11-02 16:00:00	NA	NA	10
A1C	2019-11-02 23:00:00	NA	120	2
A1C	2019-11-03 00:00:00	NA	206	4
A1C	2019-11-03 01:00:00	NA	60	NA
A1C	2019-11-03 02:00:00	NA	151	370
A1C	2019-11-03 03:00:00	NA	387	213
A1C	2019-11-03 04:00:00	NA	31	296
A1C	2019-11-03 05:00:00	NA	NA	172
A1C	2019-11-03 06:00:00	NA	3	3
A1C	2019-11-03 08:00:00	NA	20	1
A1C	2019-11-03 09:00:00	NA	2	1
A1C	2019-11-03 12:00:00	NA	NA	1
A1C	2019-11-03 13:00:00	NA	NA	2
A1C	2019-11-03 16:00:00	NA	NA	15
A1C	2019-11-03 17:00:00	NA	NA	1
A1C	2019-11-03 23:00:00	NA	NA	1
A1C	2019-11-04 10:00:00	NA	NA	1
A1C	2019-11-04 11:00:00	NA	NA	2
A1C	2019-11-04 13:00:00	NA	NA	20
A1C	2019-11-04 14:00:00	NA	NA	2
A1C	2019-11-04 15:00:00	NA	4	3
A1C	2019-11-04 16:00:00	NA	NA	9
A1C	2019-11-04 17:00:00	NA	NA	7
A1C	2019-11-04 18:00:00	NA	1	NA
A1C	2019-11-04 20:00:00	NA	670	6
A1C	2019-11-04 21:00:00	NA	128	302
A1C	2019-11-04 22:00:00	NA	299	433
A1C	2019-11-04 23:00:00	NA	325	420
A1C	2019-11-05 00:00:00	NA	236	338
A1C	2019-11-05 01:00:00	NA	593	453
A1C	2019-11-05 02:00:00	NA	789	493
A1C	2019-11-05 03:00:00	NA	751	803
A1C	2019-11-05 04:00:00	NA	792	914
A1C	2019-11-05 05:00:00	NA	728	620
A1C	2019-11-05 06:00:00	NA	757	759
A1C	2019-11-05 07:00:00	NA	566	665
A1C	2019-11-05 08:00:00	NA	95	542
A1C	2019-11-05 09:00:00	NA	14	148
A1C	2019-11-05 10:00:00	NA	145	7
A1C	2019-11-05 11:00:00	NA	2	5
